,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
81,7.0,8.0,15.0,12.0,14.0,24.0,24.0,13.0,16.0,14.0,17.0,24.0,15.0,24.0,24.0,9.0,2.0,2.0,15.0,20.0,15.0
82,3.0,2.0,21.0,12.0,19.0,23.0,24.0,9.0,14.0,14.0,21.0,17.0,24.0,24.0,5.0,5.0,3.0,9.0,24.0,20.0,21.0
83,2.0,12.0,12.0,18.0,17.0,20.0,23.0,13.0,11.0,13.0,24.0,18.0,20.0,23.0,7.0,12.0,14.0,5.0,16.0,18.0,16.0
84,6.0,11.0,10.0,15.0,14.0,24.0,24.0,15.0,13.0,14.0,24.0,19.0,14.0,24.0,16.0,5.0,14.0,7.0,16.0,12.0,17.0
85,1.0,2.0,15.0,23.0,15.0,24.0,24.0,11.0,9.0,16.0,15.0,24.0,24.0,24.0,14.0,8.0,10.0,8.0,21.0,12.0,14.0
86,4.0,3.0,19.0,23.0,15.0,21.0,19.0,7.0,9.0,17.0,21.0,24.0,21.0,23.0,13.0,5.0,0.0,1.0,21.0,24.0,24.0
87,6.0,6.0,21.0,15.0,8.0,24.0,24.0,11.0,16.0,13.0,11.0,24.0,24.0,24.0,22.0,19.0,8.0,6.0,12.0,5.0,15.0
88,1.0,13.0,18.0,11.0,18.0,23.0,20.0,13.0,15.0,14.0,16.0,22.0,19.0,24.0,11.0,15.0,1.0,11.0,14.0,20.0,15.0
89,13.0,11.0,15.0,11.0,11.0,19.0,24.0,16.0,12.0,18.0,16.0,18.0,19.0,21.0,20.0,11.0,12.0,3.0,16.0,8.0,20.0
90,14.0,10.0,10.0,12.0,10.0,24.0,24.0,17.0,13.0,17.0,18.0,20.0,14.0,24.0,21.0,10.0,10.0,4.0,11.0,13.0,18.0
91,2.0,3.0,16.0,17.0,19.0,23.0,24.0,11.0,12.0,13.0,24.0,24.0,15.0,24.0,10.0,4.0,11.0,3.0,20.0,24.0,15.0
92,4.0,2.0,16.0,15.0,19.0,24.0,24.0,17.0,18.0,14.0,18.0,18.0,14.0,24.0,11.0,5.0,2.0,6.0,18.0,21.0,24.0
93,10.0,12.0,11.0,11.0,12.0,24.0,24.0,20.0,14.0,11.0,15.0,23.0,16.0,24.0,21.0,8.0,7.0,8.0,14.0,16.0,13.0
94,12.0,7.0,9.0,9.0,19.0,24.0,24.0,24.0,11.0,10.0,17.0,20.0,17.0,24.0,22.0,4.0,2.0,3.0,23.0,20.0,13.0
