,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
64,11.0,6.0,20.0,18.0,1.0,24.0,24.0,10.0,8.0,23.0,23.0,13.0,22.0,24.0,24.0,5.0,13.0,5.0,10.0,16.0,14.0
65,7.0,6.0,24.0,13.0,6.0,24.0,24.0,18.0,6.0,7.0,20.0,24.0,24.0,23.0,24.0,9.0,4.0,16.0,9.0,7.0,19.0
66,7.0,10.0,12.0,15.0,22.0,21.0,17.0,14.0,17.0,13.0,23.0,19.0,13.0,21.0,21.0,7.0,10.0,3.0,14.0,19.0,16.0
67,8.0,10.0,13.0,12.0,22.0,15.0,24.0,15.0,16.0,15.0,12.0,24.0,17.0,18.0,11.0,6.0,8.0,12.0,18.0,20.0,18.0
68,7.0,7.0,3.0,16.0,23.0,24.0,24.0,12.0,14.0,8.0,24.0,24.0,17.0,22.0,10.0,2.0,5.0,2.0,24.0,24.0,22.0
69,3.0,1.0,24.0,17.0,20.0,22.0,17.0,10.0,13.0,14.0,19.0,23.0,20.0,14.0,11.0,1.0,16.0,8.0,18.0,21.0,22.0
70,8.0,10.0,21.0,15.0,21.0,14.0,15.0,11.0,12.0,13.0,24.0,21.0,18.0,23.0,4.0,11.0,9.0,2.0,23.0,20.0,19.0
71,13.0,12.0,12.0,19.0,10.0,17.0,21.0,17.0,11.0,12.0,17.0,24.0,18.0,20.0,13.0,13.0,5.0,21.0,12.0,14.0,13.0
72,8.0,6.0,24.0,11.0,7.0,24.0,24.0,10.0,22.0,1.0,23.0,22.0,21.0,24.0,14.0,3.0,4.0,3.0,15.0,24.0,24.0
73,1.0,8.0,19.0,18.0,14.0,20.0,24.0,19.0,13.0,18.0,15.0,11.0,23.0,24.0,24.0,9.0,17.0,5.0,10.0,11.0,11.0
74,19.0,10.0,12.0,11.0,6.0,22.0,24.0,18.0,11.0,10.0,24.0,18.0,18.0,24.0,24.0,10.0,4.0,5.0,7.0,18.0,19.0
75,8.0,5.0,11.0,13.0,21.0,23.0,23.0,9.0,19.0,12.0,19.0,24.0,16.0,24.0,19.0,7.0,9.0,12.0,16.0,6.0,18.0
76,7.0,6.0,11.0,18.0,17.0,24.0,21.0,9.0,15.0,10.0,23.0,18.0,24.0,23.0,7.0,11.0,4.0,10.0,14.0,19.0,23.0
77,7.0,3.0,15.0,12.0,19.0,24.0,24.0,13.0,19.0,4.0,22.0,23.0,18.0,17.0,16.0,12.0,2.0,17.0,14.0,18.0,15.0
78,2.0,4.0,12.0,14.0,24.0,24.0,24.0,8.0,5.0,21.0,24.0,17.0,24.0,24.0,3.0,7.0,5.0,2.0,24.0,22.0,24.0
79,11.0,17.0,8.0,14.0,14.0,20.0,20.0,15.0,18.0,16.0,13.0,17.0,20.0,20.0,19.0,9.0,8.0,9.0,16.0,13.0,17.0
80,17.0,17.0,10.0,14.0,18.0,7.0,21.0,14.0,14.0,15.0,17.0,20.0,19.0,10.0,10.0,12.0,12.0,12.0,20.0,16.0,19.0
81,11.0,10.0,8.0,13.0,14.0,24.0,24.0,16.0,16.0,9.0,17.0,17.0,24.0,23.0,14.0,10.0,9.0,8.0,14.0,24.0,9.0
82,4.0,2.0,12.0,21.0,17.0,24.0,24.0,11.0,9.0,14.0,24.0,17.0,24.0,24.0,14.0,2.0,15.0,2.0,21.0,21.0,12.0
83,7.0,8.0,18.0,12.0,17.0,19.0,23.0,24.0,21.0,15.0,13.0,13.0,13.0,18.0,19.0,8.0,7.0,11.0,18.0,11.0,19.0
84,7.0,7.0,17.0,17.0,15.0,20.0,21.0,11.0,13.0,15.0,23.0,19.0,18.0,11.0,14.0,15.0,7.0,15.0,15.0,22.0,12.0
85,8.0,17.0,7.0,16.0,13.0,21.0,22.0,14.0,16.0,15.0,17.0,24.0,13.0,17.0,17.0,17.0,16.0,6.0,16.0,10.0,12.0
86,11.0,10.0,6.0,6.0,23.0,24.0,24.0,19.0,8.0,6.0,24.0,23.0,19.0,24.0,12.0,4.0,5.0,3.0,15.0,24.0,24.0
87,3.0,1.0,20.0,14.0,19.0,24.0,23.0,13.0,12.0,17.0,17.0,21.0,19.0,24.0,5.0,9.0,6.0,3.0,24.0,22.0,18.0
88,5.0,4.0,24.0,18.0,15.0,18.0,20.0,8.0,13.0,12.0,24.0,18.0,24.0,24.0,10.0,6.0,15.0,2.0,17.0,17.0,20.0
89,5.0,10.0,10.0,18.0,13.0,24.0,24.0,9.0,18.0,12.0,17.0,19.0,24.0,23.0,12.0,14.0,5.0,5.0,16.0,21.0,15.0
90,7.0,6.0,8.0,11.0,24.0,24.0,24.0,16.0,13.0,7.0,24.0,21.0,18.0,24.0,8.0,8.0,5.0,5.0,24.0,24.0,13.0
91,3.0,0.0,17.0,20.0,19.0,24.0,21.0,18.0,9.0,15.0,21.0,18.0,18.0,24.0,9.0,3.0,4.0,2.0,22.0,23.0,24.0
92,2.0,1.0,24.0,17.0,16.0,20.0,24.0,10.0,12.0,22.0,16.0,24.0,15.0,15.0,15.0,10.0,3.0,9.0,22.0,19.0,18.0
93,9.0,13.0,9.0,13.0,21.0,20.0,19.0,10.0,15.0,19.0,18.0,18.0,19.0,18.0,16.0,17.0,1.0,13.0,14.0,12.0,20.0
94,8.0,7.0,18.0,14.0,16.0,17.0,24.0,17.0,17.0,3.0,23.0,17.0,22.0,19.0,5.0,9.0,12.0,6.0,19.0,24.0,17.0
95,13.0,10.0,16.0,10.0,8.0,24.0,23.0,21.0,18.0,15.0,18.0,17.0,10.0,24.0,10.0,14.0,7.0,7.0,13.0,12.0,24.0
96,13.0,13.0,13.0,16.0,17.0,14.0,18.0,14.0,16.0,16.0,13.0,16.0,24.0,22.0,10.0,9.0,12.0,12.0,9.0,21.0,16.0
97,3.0,7.0,14.0,19.0,18.0,19.0,24.0,11.0,7.0,19.0,24.0,22.0,16.0,24.0,16.0,5.0,10.0,3.0,16.0,14.0,23.0
98,9.0,8.0,13.0,9.0,19.0,22.0,24.0,10.0,9.0,8.0,24.0,24.0,24.0,24.0,14.0,7.0,14.0,13.0,11.0,19.0,9.0
99,6.0,13.0,18.0,16.0,23.0,15.0,13.0,17.0,10.0,14.0,21.0,20.0,17.0,11.0,15.0,14.0,13.0,14.0,12.0,16.0,16.0
100,6.0,7.0,12.0,22.0,9.0,24.0,24.0,21.0,15.0,6.0,24.0,9.0,24.0,24.0,22.0,7.0,5.0,5.0,20.0,23.0,5.0
101,16.0,12.0,4.0,16.0,14.0,20.0,22.0,17.0,14.0,14.0,17.0,15.0,22.0,24.0,11.0,10.0,6.0,9.0,14.0,24.0,13.0
102,6.0,5.0,18.0,16.0,20.0,24.0,15.0,16.0,21.0,11.0,22.0,18.0,11.0,19.0,16.0,3.0,15.0,9.0,16.0,17.0,16.0
103,12.0,3.0,13.0,22.0,11.0,21.0,22.0,9.0,12.0,17.0,20.0,17.0,24.0,18.0,5.0,8.0,6.0,8.0,18.0,24.0,24.0
104,14.0,10.0,14.0,12.0,9.0,24.0,21.0,14.0,15.0,11.0,17.0,23.0,19.0,20.0,23.0,16.0,10.0,16.0,11.0,8.0,7.0
105,6.0,6.0,17.0,21.0,10.0,20.0,24.0,15.0,13.0,16.0,19.0,12.0,24.0,21.0,6.0,10.0,6.0,6.0,22.0,24.0,16.0
106,4.0,1.0,19.0,18.0,14.0,24.0,24.0,10.0,15.0,10.0,23.0,17.0,24.0,22.0,8.0,6.0,5.0,3.0,24.0,24.0,19.0
107,9.0,11.0,12.0,13.0,16.0,24.0,19.0,17.0,15.0,14.0,24.0,17.0,12.0,24.0,12.0,4.0,8.0,13.0,23.0,7.0,20.0
108,5.0,8.0,16.0,4.0,24.0,23.0,24.0,19.0,20.0,5.0,17.0,18.0,20.0,24.0,12.0,1.0,2.0,16.0,16.0,16.0,24.0
109,14.0,7.0,21.0,5.0,9.0,24.0,24.0,20.0,18.0,17.0,17.0,13.0,14.0,21.0,18.0,15.0,8.0,11.0,6.0,16.0,16.0
110,9.0,5.0,4.0,20.0,18.0,24.0,24.0,6.0,16.0,24.0,21.0,13.0,19.0,24.0,7.0,18.0,10.0,5.0,19.0,9.0,19.0
111,18.0,5.0,9.0,15.0,12.0,22.0,23.0,24.0,16.0,14.0,16.0,11.0,18.0,24.0,21.0,8.0,9.0,8.0,18.0,8.0,15.0
112,2.0,3.0,3.0,24.0,24.0,24.0,24.0,13.0,14.0,15.0,24.0,16.0,17.0,24.0,13.0,10.0,10.0,8.0,21.0,9.0,16.0
113,11.0,4.0,24.0,5.0,12.0,24.0,24.0,18.0,9.0,8.0,20.0,20.0,24.0,22.0,24.0,16.0,7.0,4.0,11.0,19.0,8.0
114,12.0,14.0,16.0,16.0,10.0,21.0,15.0,21.0,14.0,19.0,15.0,14.0,16.0,24.0,22.0,16.0,13.0,12.0,9.0,9.0,6.0
115,3.0,16.0,17.0,9.0,13.0,22.0,24.0,16.0,18.0,12.0,11.0,21.0,21.0,23.0,15.0,18.0,4.0,8.0,14.0,12.0,17.0
116,14.0,13.0,8.0,15.0,9.0,24.0,21.0,11.0,14.0,13.0,24.0,16.0,21.0,24.0,23.0,7.0,11.0,11.0,11.0,8.0,16.0
117,11.0,12.0,13.0,10.0,15.0,24.0,19.0,16.0,16.0,16.0,19.0,21.0,11.0,24.0,24.0,13.0,6.0,4.0,4.0,14.0,22.0
118,6.0,9.0,16.0,20.0,11.0,24.0,18.0,12.0,18.0,7.0,19.0,19.0,24.0,20.0,13.0,4.0,15.0,14.0,11.0,17.0,17.0
119,8.0,10.0,20.0,9.0,9.0,24.0,24.0,15.0,11.0,11.0,24.0,21.0,17.0,22.0,6.0,5.0,4.0,12.0,24.0,19.0,19.0
120,12.0,11.0,13.0,11.0,18.0,21.0,18.0,24.0,10.0,13.0,20.0,17.0,15.0,24.0,24.0,11.0,14.0,11.0,8.0,13.0,6.0
121,14.0,11.0,17.0,14.0,15.0,15.0,18.0,21.0,12.0,18.0,20.0,15.0,13.0,23.0,24.0,15.0,12.0,14.0,6.0,8.0,9.0
122,14.0,10.0,18.0,12.0,10.0,24.0,16.0,20.0,16.0,16.0,20.0,14.0,13.0,20.0,17.0,9.0,9.0,16.0,3.0,18.0,19.0
123,14.0,13.0,13.0,12.0,12.0,23.0,17.0,16.0,19.0,15.0,15.0,18.0,16.0,19.0,16.0,13.0,18.0,19.0,12.0,9.0,5.0
124,7.0,7.0,18.0,20.0,22.0,15.0,15.0,11.0,12.0,13.0,23.0,20.0,20.0,15.0,14.0,5.0,13.0,11.0,21.0,19.0,13.0
125,7.0,9.0,17.0,11.0,17.0,19.0,24.0,21.0,17.0,5.0,14.0,21.0,21.0,24.0,10.0,4.0,6.0,12.0,22.0,15.0,18.0
126,14.0,19.0,16.0,1.0,14.0,21.0,19.0,14.0,15.0,13.0,23.0,14.0,20.0,19.0,14.0,8.0,10.0,9.0,17.0,21.0,13.0
127,16.0,12.0,19.0,10.0,9.0,18.0,20.0,5.0,11.0,21.0,19.0,23.0,20.0,19.0,13.0,12.0,5.0,12.0,19.0,18.0,13.0
128,7.0,7.0,5.0,14.0,23.0,24.0,24.0,22.0,13.0,10.0,24.0,18.0,12.0,24.0,24.0,3.0,13.0,13.0,10.0,14.0,10.0
129,11.0,6.0,17.0,16.0,6.0,24.0,24.0,10.0,16.0,13.0,22.0,19.0,19.0,17.0,12.0,7.0,15.0,8.0,20.0,12.0,20.0
130,5.0,17.0,13.0,19.0,10.0,20.0,20.0,15.0,13.0,15.0,23.0,14.0,19.0,11.0,11.0,11.0,15.0,18.0,16.0,17.0,12.0
131,13.0,4.0,13.0,17.0,10.0,23.0,24.0,15.0,19.0,15.0,13.0,15.0,22.0,12.0,10.0,13.0,9.0,17.0,21.0,14.0,15.0
132,7.0,7.0,10.0,16.0,16.0,24.0,24.0,18.0,14.0,14.0,12.0,24.0,17.0,24.0,24.0,7.0,10.0,6.0,14.0,6.0,20.0
133,8.0,11.0,16.0,8.0,13.0,24.0,24.0,21.0,14.0,14.0,9.0,22.0,19.0,24.0,21.0,12.0,11.0,12.0,7.0,8.0,16.0
134,12.0,11.0,16.0,13.0,13.0,21.0,18.0,20.0,19.0,13.0,22.0,16.0,9.0,18.0,24.0,12.0,9.0,12.0,9.0,15.0,12.0
135,12.0,9.0,11.0,6.0,18.0,24.0,24.0,24.0,18.0,10.0,20.0,7.0,20.0,24.0,24.0,3.0,10.0,9.0,7.0,22.0,12.0
136,16.0,7.0,15.0,15.0,11.0,22.0,18.0,18.0,19.0,7.0,15.0,24.0,16.0,24.0,20.0,9.0,5.0,17.0,21.0,5.0,10.0
137,3.0,6.0,19.0,24.0,18.0,18.0,16.0,11.0,15.0,12.0,20.0,22.0,19.0,20.0,6.0,11.0,4.0,8.0,16.0,24.0,22.0
138,6.0,8.0,24.0,2.0,16.0,24.0,24.0,23.0,22.0,11.0,11.0,24.0,8.0,24.0,23.0,3.0,4.0,9.0,17.0,7.0,24.0
139,8.0,8.0,16.0,6.0,18.0,24.0,24.0,20.0,6.0,10.0,23.0,21.0,19.0,24.0,12.0,6.0,7.0,4.0,13.0,22.0,23.0
140,9.0,13.0,12.0,15.0,12.0,24.0,19.0,20.0,13.0,18.0,18.0,17.0,13.0,22.0,21.0,16.0,14.0,9.0,9.0,11.0,9.0
141,8.0,5.0,24.0,15.0,4.0,24.0,24.0,7.0,19.0,16.0,14.0,19.0,24.0,24.0,24.0,14.0,5.0,3.0,8.0,9.0,24.0
142,10.0,8.0,12.0,10.0,18.0,22.0,24.0,20.0,13.0,9.0,19.0,20.0,18.0,23.0,20.0,11.0,16.0,2.0,8.0,21.0,10.0
143,13.0,5.0,18.0,15.0,17.0,18.0,18.0,9.0,13.0,24.0,17.0,17.0,19.0,15.0,15.0,15.0,6.0,2.0,16.0,24.0,18.0
144,11.0,10.0,13.0,16.0,14.0,17.0,23.0,14.0,17.0,10.0,18.0,22.0,18.0,12.0,15.0,8.0,19.0,16.0,12.0,15.0,14.0
145,8.0,12.0,19.0,11.0,21.0,15.0,18.0,9.0,16.0,13.0,22.0,21.0,18.0,18.0,2.0,2.0,17.0,5.0,19.0,24.0,24.0
146,2.0,6.0,18.0,18.0,14.0,22.0,24.0,17.0,17.0,9.0,16.0,16.0,24.0,24.0,9.0,8.0,16.0,13.0,11.0,17.0,13.0
147,5.0,9.0,11.0,24.0,7.0,24.0,24.0,16.0,5.0,10.0,20.0,24.0,24.0,24.0,24.0,5.0,11.0,9.0,23.0,5.0,10.0
148,6.0,13.0,10.0,17.0,10.0,24.0,24.0,16.0,4.0,18.0,23.0,19.0,19.0,24.0,18.0,12.0,12.0,9.0,14.0,11.0,11.0
149,8.0,10.0,17.0,21.0,7.0,24.0,17.0,18.0,18.0,11.0,18.0,17.0,17.0,24.0,11.0,8.0,9.0,12.0,18.0,12.0,17.0
150,4.0,1.0,20.0,20.0,20.0,21.0,18.0,16.0,12.0,12.0,24.0,16.0,19.0,20.0,7.0,8.0,10.0,9.0,24.0,9.0,24.0
151,6.0,16.0,13.0,17.0,5.0,23.0,24.0,19.0,19.0,11.0,17.0,13.0,20.0,24.0,24.0,15.0,4.0,8.0,10.0,11.0,15.0
152,10.0,10.0,17.0,18.0,16.0,17.0,16.0,9.0,12.0,18.0,21.0,20.0,19.0,21.0,7.0,4.0,9.0,19.0,15.0,18.0,18.0
153,5.0,7.0,24.0,9.0,11.0,24.0,24.0,11.0,13.0,8.0,19.0,24.0,24.0,24.0,24.0,16.0,8.0,6.0,16.0,7.0,10.0
154,10.0,1.0,13.0,22.0,16.0,19.0,23.0,14.0,14.0,12.0,24.0,18.0,17.0,10.0,8.0,6.0,11.0,18.0,15.0,19.0,24.0
155,4.0,9.0,14.0,15.0,22.0,16.0,24.0,15.0,14.0,11.0,15.0,24.0,20.0,20.0,6.0,16.0,2.0,11.0,16.0,22.0,18.0
