,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
75,23.0,5.0,15.0,2.0,2.0,24.0,24.0,16.0,7.0,6.0,22.0,18.0,18.0,9.0,7.0,24.0,24.0,24.0,23.0,12.0,6.0,14.0,6.0,6.0,7.0,9.0,19.0,19.0,22.0,24.0
76,24.0,17.0,11.0,3.0,14.0,16.0,8.0,18.0,9.0,9.0,11.0,20.0,24.0,15.0,10.0,13.0,19.0,22.0,13.0,14.0,12.0,18.0,11.0,21.0,15.0,14.0,16.0,16.0,9.0,15.0
77,14.0,18.0,6.0,11.0,4.0,14.0,20.0,24.0,12.0,7.0,18.0,21.0,24.0,6.0,7.0,16.0,24.0,24.0,18.0,9.0,10.0,11.0,13.0,15.0,8.0,8.0,20.0,17.0,14.0,24.0
78,16.0,20.0,8.0,2.0,3.0,24.0,18.0,20.0,11.0,12.0,6.0,17.0,16.0,11.0,21.0,17.0,24.0,18.0,24.0,13.0,11.0,10.0,9.0,17.0,16.0,2.0,16.0,18.0,13.0,24.0
79,11.0,8.0,6.0,16.0,3.0,24.0,19.0,24.0,7.0,4.0,3.0,20.0,21.0,20.0,24.0,12.0,23.0,22.0,23.0,17.0,10.0,6.0,8.0,11.0,4.0,18.0,24.0,12.0,13.0,24.0
80,24.0,6.0,2.0,5.0,16.0,21.0,15.0,22.0,3.0,18.0,15.0,23.0,14.0,5.0,19.0,14.0,22.0,23.0,18.0,5.0,8.0,18.0,15.0,12.0,9.0,9.0,18.0,20.0,14.0,24.0
81,24.0,17.0,9.0,2.0,9.0,18.0,18.0,14.0,2.0,13.0,15.0,16.0,16.0,17.0,16.0,16.0,18.0,21.0,16.0,14.0,17.0,17.0,6.0,2.0,18.0,15.0,14.0,15.0,21.0,21.0
82,22.0,16.0,1.0,14.0,13.0,8.0,16.0,21.0,5.0,10.0,18.0,24.0,24.0,10.0,7.0,13.0,20.0,21.0,18.0,16.0,17.0,10.0,7.0,9.0,13.0,8.0,18.0,22.0,18.0,18.0
83,17.0,14.0,4.0,18.0,13.0,13.0,14.0,18.0,6.0,11.0,8.0,12.0,18.0,20.0,24.0,12.0,20.0,24.0,12.0,16.0,16.0,11.0,10.0,12.0,6.0,10.0,14.0,24.0,16.0,24.0
84,22.0,3.0,17.0,14.0,5.0,16.0,17.0,17.0,4.0,2.0,20.0,19.0,21.0,6.0,18.0,21.0,24.0,24.0,23.0,7.0,13.0,11.0,7.0,4.0,2.0,13.0,22.0,22.0,19.0,24.0
85,15.0,8.0,11.0,5.0,4.0,24.0,22.0,22.0,9.0,5.0,24.0,18.0,20.0,12.0,18.0,5.0,24.0,23.0,24.0,3.0,8.0,9.0,18.0,17.0,2.0,1.0,22.0,18.0,24.0,22.0
86,19.0,2.0,13.0,18.0,12.0,21.0,15.0,11.0,6.0,8.0,10.0,17.0,15.0,18.0,24.0,13.0,24.0,24.0,18.0,11.0,8.0,12.0,12.0,12.0,7.0,11.0,19.0,21.0,12.0,24.0
87,24.0,7.0,6.0,8.0,9.0,24.0,14.0,19.0,2.0,2.0,6.0,24.0,22.0,23.0,8.0,24.0,21.0,22.0,22.0,16.0,9.0,13.0,6.0,14.0,4.0,11.0,14.0,24.0,16.0,23.0
88,19.0,7.0,14.0,10.0,7.0,22.0,17.0,15.0,12.0,3.0,23.0,18.0,21.0,9.0,11.0,14.0,20.0,14.0,21.0,12.0,15.0,13.0,14.0,19.0,3.0,2.0,24.0,15.0,19.0,24.0
89,21.0,5.0,5.0,6.0,15.0,24.0,20.0,15.0,3.0,11.0,2.0,20.0,19.0,20.0,19.0,17.0,24.0,21.0,15.0,20.0,14.0,9.0,6.0,9.0,7.0,14.0,15.0,19.0,18.0,24.0
90,24.0,9.0,5.0,7.0,8.0,16.0,18.0,24.0,12.0,10.0,24.0,19.0,16.0,8.0,9.0,13.0,24.0,24.0,18.0,8.0,14.0,7.0,14.0,9.0,4.0,7.0,24.0,20.0,24.0,18.0
91,21.0,3.0,8.0,12.0,3.0,21.0,19.0,24.0,12.0,8.0,17.0,24.0,12.0,13.0,17.0,8.0,15.0,24.0,24.0,7.0,19.0,7.0,13.0,8.0,7.0,9.0,14.0,20.0,24.0,24.0
92,16.0,1.0,15.0,5.0,10.0,20.0,21.0,23.0,7.0,9.0,12.0,23.0,24.0,16.0,9.0,11.0,24.0,21.0,24.0,8.0,11.0,12.0,9.0,8.0,10.0,10.0,18.0,23.0,15.0,22.0
93,22.0,6.0,3.0,2.0,16.0,21.0,21.0,20.0,16.0,18.0,13.0,11.0,10.0,17.0,13.0,13.0,18.0,19.0,16.0,20.0,14.0,9.0,13.0,10.0,10.0,11.0,12.0,19.0,24.0,20.0
94,15.0,8.0,8.0,15.0,10.0,21.0,20.0,14.0,13.0,10.0,18.0,14.0,19.0,10.0,7.0,20.0,19.0,19.0,19.0,15.0,18.0,11.0,8.0,10.0,11.0,15.0,18.0,22.0,14.0,16.0
95,24.0,10.0,5.0,3.0,3.0,24.0,18.0,24.0,3.0,4.0,8.0,23.0,24.0,6.0,20.0,23.0,19.0,24.0,14.0,15.0,6.0,16.0,15.0,11.0,11.0,6.0,20.0,15.0,19.0,24.0
96,23.0,7.0,4.0,17.0,4.0,22.0,15.0,19.0,3.0,4.0,22.0,18.0,24.0,9.0,17.0,14.0,20.0,24.0,15.0,10.0,11.0,15.0,14.0,5.0,8.0,13.0,24.0,24.0,15.0,17.0
97,19.0,17.0,4.0,5.0,6.0,24.0,22.0,14.0,1.0,0.0,8.0,22.0,17.0,20.0,24.0,19.0,23.0,24.0,24.0,7.0,6.0,19.0,6.0,13.0,6.0,6.0,24.0,13.0,24.0,20.0
98,18.0,5.0,9.0,5.0,9.0,23.0,20.0,22.0,8.0,12.0,24.0,24.0,18.0,5.0,14.0,6.0,24.0,20.0,21.0,9.0,15.0,13.0,7.0,8.0,4.0,8.0,23.0,17.0,22.0,24.0
99,16.0,24.0,6.0,10.0,7.0,16.0,14.0,18.0,5.0,4.0,6.0,13.0,21.0,21.0,20.0,21.0,24.0,19.0,20.0,13.0,14.0,8.0,11.0,14.0,6.0,4.0,16.0,23.0,19.0,24.0
100,23.0,12.0,12.0,11.0,1.0,24.0,16.0,12.0,2.0,2.0,22.0,20.0,23.0,8.0,17.0,17.0,24.0,24.0,15.0,14.0,10.0,9.0,13.0,9.0,6.0,12.0,21.0,24.0,21.0,13.0
101,13.0,10.0,7.0,9.0,13.0,17.0,18.0,24.0,10.0,2.0,11.0,21.0,5.0,17.0,21.0,24.0,24.0,22.0,15.0,16.0,11.0,8.0,13.0,14.0,12.0,11.0,19.0,18.0,12.0,20.0
102,23.0,14.0,4.0,1.0,11.0,21.0,17.0,20.0,4.0,4.0,18.0,22.0,23.0,8.0,16.0,16.0,24.0,16.0,17.0,16.0,16.0,8.0,12.0,6.0,11.0,7.0,23.0,12.0,23.0,24.0
103,20.0,6.0,10.0,3.0,4.0,20.0,24.0,24.0,12.0,6.0,7.0,24.0,24.0,12.0,11.0,15.0,24.0,23.0,20.0,9.0,14.0,17.0,2.0,6.0,10.0,6.0,16.0,24.0,20.0,24.0
104,16.0,15.0,14.0,11.0,16.0,17.0,8.0,14.0,13.0,9.0,13.0,16.0,18.0,10.0,14.0,18.0,15.0,24.0,19.0,20.0,13.0,8.0,10.0,14.0,10.0,16.0,18.0,17.0,13.0,18.0
105,23.0,12.0,3.0,5.0,14.0,11.0,19.0,24.0,2.0,4.0,9.0,22.0,17.0,23.0,13.0,21.0,24.0,22.0,19.0,8.0,13.0,8.0,15.0,8.0,5.0,7.0,24.0,21.0,17.0,24.0
106,22.0,9.0,10.0,5.0,6.0,19.0,24.0,16.0,2.0,8.0,11.0,11.0,21.0,23.0,16.0,19.0,24.0,19.0,19.0,16.0,16.0,12.0,3.0,11.0,7.0,12.0,21.0,7.0,24.0,24.0
107,21.0,13.0,4.0,2.0,21.0,12.0,18.0,20.0,7.0,8.0,22.0,21.0,13.0,16.0,16.0,8.0,24.0,17.0,24.0,10.0,14.0,10.0,10.0,9.0,7.0,6.0,21.0,19.0,20.0,24.0
108,15.0,19.0,11.0,1.0,8.0,16.0,21.0,20.0,1.0,13.0,8.0,21.0,16.0,16.0,19.0,17.0,19.0,24.0,16.0,11.0,14.0,15.0,10.0,10.0,9.0,24.0,17.0,8.0,14.0,24.0
109,17.0,14.0,4.0,5.0,9.0,17.0,24.0,21.0,13.0,8.0,8.0,18.0,18.0,18.0,15.0,13.0,24.0,18.0,24.0,9.0,10.0,11.0,13.0,10.0,18.0,11.0,20.0,13.0,10.0,24.0
110,21.0,7.0,9.0,4.0,15.0,21.0,24.0,10.0,9.0,5.0,5.0,20.0,24.0,16.0,18.0,14.0,21.0,20.0,21.0,24.0,4.0,8.0,11.0,14.0,8.0,5.0,24.0,19.0,19.0,17.0
