,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
57,5.0,5.0,18.0,9.0,24.0,23.0,19.0,12.0,10.0,4.0,22.0,10.0,15.0,18.0,18.0,3.0,10.0,3.0,14.0,21.0,24.0,24.0,13.0
58,15.0,18.0,4.0,4.0,21.0,22.0,19.0,15.0,13.0,12.0,17.0,4.0,14.0,13.0,21.0,15.0,3.0,13.0,3.0,19.0,15.0,24.0,20.0
59,13.0,19.0,17.0,2.0,23.0,15.0,14.0,10.0,11.0,1.0,17.0,16.0,18.0,18.0,18.0,0.0,17.0,17.0,16.0,17.0,17.0,15.0,13.0
60,17.0,6.0,20.0,6.0,24.0,12.0,18.0,19.0,2.0,4.0,1.0,22.0,19.0,22.0,20.0,11.0,12.0,7.0,0.0,22.0,15.0,24.0,21.0
61,15.0,5.0,9.0,9.0,24.0,24.0,17.0,6.0,10.0,2.0,23.0,20.0,11.0,15.0,22.0,11.0,3.0,12.0,7.0,17.0,24.0,23.0,15.0
62,13.0,6.0,9.0,13.0,20.0,24.0,18.0,12.0,14.0,4.0,20.0,10.0,1.0,24.0,24.0,3.0,5.0,2.0,21.0,14.0,24.0,23.0,20.0
63,11.0,16.0,13.0,9.0,20.0,16.0,18.0,7.0,19.0,18.0,9.0,14.0,6.0,20.0,16.0,14.0,19.0,9.0,10.0,13.0,15.0,15.0,17.0
64,24.0,14.0,19.0,10.0,11.0,19.0,6.0,12.0,11.0,8.0,17.0,13.0,20.0,20.0,8.0,4.0,5.0,9.0,2.0,22.0,22.0,24.0,24.0
65,15.0,13.0,15.0,5.0,24.0,15.0,16.0,3.0,7.0,3.0,12.0,12.0,24.0,24.0,24.0,8.0,6.0,15.0,5.0,24.0,21.0,24.0,9.0
66,12.0,12.0,20.0,7.0,20.0,16.0,16.0,2.0,16.0,6.0,12.0,14.0,19.0,18.0,22.0,14.0,13.0,7.0,3.0,17.0,18.0,16.0,24.0
67,15.0,8.0,11.0,24.0,11.0,21.0,13.0,2.0,2.0,7.0,22.0,19.0,11.0,22.0,24.0,4.0,7.0,6.0,8.0,24.0,22.0,24.0,17.0
68,13.0,16.0,8.0,6.0,24.0,19.0,17.0,15.0,8.0,11.0,11.0,14.0,10.0,20.0,20.0,5.0,7.0,18.0,17.0,8.0,17.0,21.0,19.0
69,13.0,14.0,9.0,10.0,24.0,13.0,20.0,11.0,15.0,1.0,12.0,20.0,19.0,16.0,15.0,20.0,8.0,9.0,5.0,15.0,19.0,19.0,17.0
70,12.0,16.0,3.0,4.0,21.0,23.0,24.0,1.0,11.0,0.0,24.0,15.0,16.0,20.0,22.0,7.0,9.0,8.0,4.0,14.0,22.0,24.0,24.0
71,15.0,6.0,17.0,6.0,16.0,19.0,24.0,1.0,1.0,1.0,24.0,18.0,24.0,21.0,19.0,1.0,2.0,13.0,9.0,20.0,19.0,24.0,24.0
