,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
28,8.0,8.0,12.0,7.0,22.0,23.0,23.0,0.0,0.0,1.0,22.0,20.0,20.0,23.0,23.0,2.0,7.0,7.0,14.0,22.0,22.0,23.0,15.0
29,11.0,6.0,12.0,10.0,21.0,21.0,22.0,1.0,2.0,2.0,20.0,19.0,19.0,23.0,23.0,1.0,15.0,8.0,11.0,21.0,22.0,21.0,13.0
30,12.0,11.0,11.0,7.0,21.0,22.0,19.0,2.0,4.0,2.0,19.0,17.0,18.0,23.0,24.0,1.0,3.0,6.0,9.0,24.0,22.0,24.0,23.0
31,11.0,7.0,10.0,9.0,21.0,23.0,22.0,3.0,1.0,3.0,20.0,15.0,21.0,22.0,24.0,2.0,4.0,6.0,10.0,24.0,20.0,24.0,22.0
32,14.0,9.0,11.0,10.0,23.0,22.0,14.0,1.0,1.0,0.0,24.0,17.0,19.0,24.0,23.0,2.0,3.0,6.0,11.0,22.0,22.0,23.0,23.0
33,19.0,16.0,16.0,15.0,13.0,11.0,13.0,16.0,16.0,11.0,11.0,13.0,11.0,16.0,15.0,11.0,10.0,12.0,11.0,14.0,13.0,19.0,22.0
34,11.0,7.0,11.0,9.0,22.0,22.0,21.0,2.0,1.0,2.0,21.0,17.0,20.0,24.0,22.0,0.0,8.0,9.0,14.0,22.0,22.0,22.0,15.0
35,11.0,6.0,11.0,10.0,21.0,21.0,23.0,0.0,2.0,2.0,20.0,19.0,20.0,23.0,23.0,0.0,15.0,8.0,11.0,22.0,22.0,22.0,12.0
36,23.0,16.0,13.0,12.0,14.0,12.0,13.0,17.0,16.0,12.0,12.0,11.0,9.0,16.0,16.0,6.0,10.0,7.0,12.0,14.0,16.0,24.0,23.0
37,11.0,8.0,12.0,9.0,21.0,21.0,21.0,1.0,2.0,3.0,21.0,18.0,20.0,22.0,22.0,0.0,9.0,10.0,13.0,22.0,21.0,22.0,15.0
38,10.0,8.0,11.0,9.0,22.0,21.0,22.0,0.0,1.0,2.0,20.0,19.0,22.0,23.0,22.0,0.0,10.0,11.0,12.0,21.0,22.0,21.0,15.0
39,9.0,8.0,12.0,10.0,22.0,20.0,22.0,2.0,1.0,5.0,20.0,20.0,21.0,20.0,20.0,0.0,15.0,14.0,12.0,18.0,20.0,20.0,13.0
40,10.0,8.0,11.0,7.0,22.0,23.0,22.0,1.0,2.0,1.0,21.0,20.0,18.0,23.0,23.0,1.0,8.0,4.0,16.0,20.0,22.0,23.0,18.0
41,11.0,2.0,13.0,18.0,20.0,19.0,20.0,13.0,2.0,1.0,21.0,8.0,19.0,23.0,22.0,0.0,1.0,13.0,3.0,24.0,23.0,24.0,24.0
42,13.0,8.0,11.0,7.0,21.0,22.0,21.0,2.0,3.0,4.0,20.0,18.0,17.0,22.0,23.0,2.0,6.0,8.0,10.0,22.0,22.0,23.0,19.0
43,11.0,8.0,12.0,6.0,22.0,21.0,23.0,1.0,2.0,1.0,21.0,19.0,21.0,21.0,23.0,0.0,8.0,9.0,13.0,21.0,22.0,23.0,16.0
44,15.0,15.0,15.0,15.0,14.0,15.0,14.0,15.0,15.0,13.0,13.0,13.0,12.0,14.0,14.0,15.0,14.0,12.0,12.0,14.0,14.0,15.0,16.0
45,10.0,11.0,11.0,8.0,20.0,22.0,21.0,1.0,1.0,1.0,21.0,19.0,22.0,22.0,22.0,2.0,15.0,12.0,10.0,21.0,20.0,20.0,12.0
46,9.0,9.0,11.0,8.0,23.0,20.0,23.0,0.0,2.0,2.0,22.0,16.0,19.0,24.0,24.0,2.0,2.0,7.0,12.0,18.0,24.0,24.0,23.0
47,11.0,7.0,12.0,7.0,22.0,23.0,21.0,2.0,1.0,2.0,21.0,19.0,18.0,23.0,23.0,0.0,8.0,6.0,13.0,23.0,22.0,23.0,17.0
48,11.0,8.0,11.0,10.0,21.0,21.0,21.0,1.0,1.0,3.0,19.0,18.0,23.0,23.0,21.0,0.0,13.0,13.0,12.0,19.0,19.0,20.0,16.0
49,11.0,7.0,13.0,7.0,22.0,22.0,21.0,2.0,0.0,2.0,22.0,19.0,17.0,23.0,24.0,1.0,8.0,5.0,14.0,22.0,21.0,23.0,18.0
50,13.0,10.0,12.0,11.0,21.0,18.0,18.0,1.0,2.0,1.0,19.0,22.0,21.0,23.0,20.0,0.0,17.0,13.0,12.0,17.0,19.0,19.0,15.0
51,12.0,10.0,12.0,9.0,19.0,20.0,21.0,3.0,1.0,2.0,20.0,18.0,20.0,23.0,22.0,1.0,9.0,10.0,13.0,22.0,21.0,22.0,14.0
52,19.0,17.0,17.0,15.0,11.0,11.0,13.0,15.0,16.0,11.0,11.0,14.0,12.0,15.0,15.0,11.0,11.0,10.0,11.0,15.0,13.0,20.0,21.0
