,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
21,22.0,3.0,4.0,6.0,7.0,23.0,23.0,23.0,11.0,13.0,19.0,20.0,20.0,8.0,9.0,11.0,22.0,22.0,23.0,10.0,11.0,12.0,9.0,5.0,5.0,5.0,23.0,22.0,22.0,24.0
22,14.0,14.0,14.0,13.0,14.0,14.0,14.0,14.0,13.0,12.0,12.0,15.0,16.0,14.0,15.0,14.0,16.0,16.0,15.0,15.0,16.0,16.0,15.0,15.0,15.0,16.0,15.0,15.0,15.0,15.0
23,14.0,14.0,14.0,14.0,14.0,14.0,13.0,14.0,13.0,13.0,12.0,15.0,14.0,15.0,15.0,14.0,16.0,17.0,16.0,16.0,15.0,14.0,15.0,15.0,15.0,15.0,15.0,14.0,16.0,16.0
24,24.0,4.0,2.0,4.0,12.0,23.0,23.0,19.0,2.0,5.0,17.0,24.0,24.0,11.0,13.0,15.0,23.0,24.0,22.0,10.0,14.0,11.0,5.0,3.0,6.0,2.0,24.0,24.0,23.0,24.0
25,22.0,3.0,7.0,7.0,2.0,22.0,24.0,24.0,11.0,13.0,19.0,20.0,19.0,9.0,11.0,9.0,22.0,22.0,22.0,9.0,14.0,11.0,9.0,5.0,9.0,3.0,22.0,22.0,22.0,23.0
26,22.0,5.0,4.0,5.0,6.0,23.0,23.0,23.0,7.0,11.0,21.0,23.0,23.0,6.0,10.0,10.0,23.0,23.0,24.0,8.0,10.0,12.0,9.0,4.0,4.0,5.0,23.0,23.0,23.0,24.0
27,24.0,3.0,4.0,5.0,11.0,16.0,24.0,24.0,3.0,5.0,17.0,23.0,23.0,12.0,13.0,15.0,23.0,23.0,24.0,8.0,14.0,12.0,5.0,4.0,6.0,3.0,23.0,23.0,23.0,24.0
28,22.0,4.0,2.0,7.0,5.0,23.0,24.0,24.0,9.0,13.0,21.0,21.0,21.0,7.0,7.0,12.0,22.0,23.0,23.0,10.0,10.0,12.0,9.0,3.0,5.0,4.0,24.0,23.0,23.0,24.0
29,24.0,3.0,4.0,5.0,4.0,24.0,23.0,24.0,3.0,4.0,21.0,18.0,23.0,7.0,20.0,15.0,24.0,23.0,23.0,10.0,10.0,9.0,10.0,5.0,5.0,5.0,23.0,22.0,23.0,23.0
30,22.0,4.0,3.0,7.0,8.0,22.0,23.0,22.0,9.0,14.0,20.0,19.0,19.0,10.0,10.0,10.0,22.0,21.0,23.0,10.0,11.0,12.0,10.0,8.0,4.0,3.0,23.0,21.0,23.0,24.0
31,24.0,4.0,2.0,4.0,11.0,24.0,23.0,19.0,6.0,5.0,15.0,22.0,23.0,12.0,13.0,15.0,24.0,23.0,23.0,9.0,16.0,11.0,3.0,2.0,8.0,4.0,23.0,23.0,22.0,24.0
32,17.0,10.0,12.0,11.0,10.0,18.0,16.0,17.0,7.0,6.0,11.0,18.0,18.0,17.0,17.0,17.0,20.0,20.0,17.0,14.0,13.0,12.0,13.0,10.0,13.0,11.0,18.0,16.0,18.0,20.0
33,23.0,1.0,5.0,6.0,6.0,24.0,23.0,23.0,6.0,11.0,19.0,23.0,22.0,7.0,12.0,11.0,22.0,23.0,23.0,9.0,10.0,11.0,11.0,4.0,5.0,5.0,23.0,23.0,23.0,23.0
