,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
12,17.0,12.0,11.0,17.0,10.0,22.0,21.0,14.0,9.0,24.0,21.0,11.0,13.0,18.0,24.0,21.0,19.0,14.0,7.0,8.0,11.0,8.0,17.0,17.0,12.0,17.0,20.0,11.0,22.0,19.0,16.0,11.0,13.0,4.0,19.0
13,8.0,11.0,16.0,5.0,24.0,22.0,24.0,15.0,9.0,10.0,10.0,18.0,24.0,24.0,24.0,24.0,19.0,3.0,10.0,12.0,12.0,3.0,10.0,15.0,19.0,24.0,22.0,9.0,22.0,24.0,8.0,11.0,9.0,15.0,15.0
14,17.0,7.0,16.0,15.0,10.0,21.0,24.0,12.0,19.0,16.0,12.0,12.0,24.0,15.0,24.0,24.0,18.0,10.0,14.0,7.0,7.0,1.0,11.0,22.0,22.0,14.0,20.0,12.0,24.0,9.0,14.0,9.0,18.0,15.0,15.0
15,24.0,14.0,13.0,8.0,10.0,22.0,19.0,14.0,14.0,17.0,19.0,13.0,16.0,17.0,19.0,20.0,16.0,15.0,15.0,6.0,13.0,8.0,14.0,19.0,19.0,17.0,7.0,18.0,17.0,22.0,13.0,10.0,14.0,12.0,16.0
16,12.0,13.0,12.0,12.0,13.0,24.0,24.0,6.0,23.0,15.0,22.0,12.0,16.0,16.0,24.0,24.0,18.0,9.0,11.0,9.0,9.0,5.0,4.0,23.0,20.0,20.0,22.0,8.0,24.0,24.0,11.0,6.0,8.0,7.0,24.0
17,20.0,17.0,10.0,11.0,15.0,13.0,24.0,10.0,8.0,8.0,24.0,12.0,24.0,24.0,24.0,24.0,15.0,5.0,12.0,17.0,7.0,11.0,6.0,19.0,22.0,24.0,10.0,10.0,21.0,16.0,13.0,10.0,10.0,19.0,15.0
18,16.0,15.0,14.0,15.0,16.0,18.0,16.0,8.0,17.0,24.0,18.0,7.0,18.0,18.0,23.0,21.0,18.0,15.0,16.0,7.0,4.0,5.0,17.0,17.0,14.0,11.0,16.0,22.0,21.0,9.0,1.0,19.0,16.0,17.0,21.0
19,8.0,19.0,11.0,18.0,12.0,18.0,24.0,17.0,6.0,15.0,13.0,11.0,24.0,24.0,24.0,24.0,24.0,9.0,9.0,7.0,7.0,4.0,11.0,17.0,24.0,16.0,12.0,18.0,21.0,14.0,6.0,15.0,6.0,18.0,24.0
20,10.0,9.0,19.0,15.0,21.0,14.0,22.0,9.0,8.0,19.0,15.0,20.0,21.0,18.0,24.0,24.0,12.0,11.0,9.0,9.0,15.0,3.0,8.0,20.0,22.0,17.0,20.0,12.0,20.0,11.0,19.0,10.0,11.0,9.0,24.0
21,24.0,8.0,9.0,7.0,19.0,24.0,19.0,15.0,16.0,20.0,16.0,9.0,18.0,16.0,24.0,23.0,17.0,13.0,16.0,5.0,6.0,5.0,12.0,17.0,20.0,15.0,13.0,20.0,24.0,10.0,13.0,10.0,18.0,17.0,12.0
22,19.0,10.0,14.0,7.0,17.0,24.0,19.0,11.0,11.0,17.0,13.0,13.0,23.0,22.0,24.0,22.0,16.0,24.0,5.0,5.0,8.0,3.0,4.0,18.0,24.0,22.0,18.0,13.0,24.0,19.0,5.0,13.0,13.0,8.0,22.0
23,15.0,16.0,9.0,16.0,12.0,18.0,24.0,11.0,17.0,20.0,16.0,5.0,17.0,24.0,24.0,22.0,24.0,11.0,8.0,6.0,9.0,3.0,16.0,22.0,20.0,10.0,15.0,16.0,14.0,19.0,11.0,9.0,10.0,17.0,24.0
24,11.0,12.0,8.0,17.0,17.0,21.0,24.0,5.0,17.0,16.0,16.0,14.0,24.0,18.0,24.0,20.0,12.0,17.0,12.0,9.0,10.0,7.0,13.0,16.0,24.0,15.0,17.0,10.0,24.0,15.0,14.0,13.0,12.0,13.0,13.0
25,21.0,13.0,10.0,13.0,16.0,18.0,19.0,14.0,14.0,24.0,18.0,13.0,14.0,13.0,18.0,24.0,18.0,16.0,11.0,6.0,11.0,12.0,12.0,12.0,24.0,12.0,16.0,14.0,21.0,21.0,6.0,19.0,7.0,13.0,17.0
26,18.0,9.0,15.0,17.0,12.0,19.0,20.0,15.0,9.0,15.0,19.0,17.0,15.0,20.0,18.0,21.0,24.0,14.0,9.0,7.0,11.0,8.0,12.0,8.0,24.0,18.0,17.0,15.0,18.0,23.0,17.0,14.0,4.0,8.0,20.0
27,20.0,6.0,10.0,10.0,16.0,24.0,24.0,5.0,16.0,21.0,21.0,8.0,19.0,20.0,24.0,21.0,24.0,11.0,7.0,7.0,10.0,9.0,8.0,18.0,14.0,19.0,20.0,14.0,24.0,19.0,13.0,9.0,8.0,15.0,16.0
28,18.0,11.0,15.0,6.0,14.0,24.0,22.0,12.0,24.0,12.0,17.0,12.0,16.0,17.0,21.0,19.0,12.0,17.0,12.0,8.0,15.0,12.0,9.0,16.0,15.0,17.0,17.0,16.0,20.0,20.0,16.0,10.0,14.0,10.0,14.0
29,13.0,10.0,10.0,16.0,15.0,24.0,22.0,15.0,18.0,24.0,9.0,13.0,16.0,15.0,24.0,24.0,11.0,14.0,15.0,9.0,7.0,7.0,4.0,13.0,20.0,17.0,21.0,20.0,19.0,20.0,12.0,10.0,13.0,16.0,14.0
30,16.0,14.0,8.0,17.0,14.0,17.0,24.0,12.0,13.0,21.0,16.0,13.0,14.0,21.0,24.0,24.0,21.0,9.0,9.0,11.0,6.0,7.0,19.0,17.0,19.0,13.0,13.0,14.0,24.0,19.0,9.0,11.0,8.0,11.0,22.0
31,21.0,10.0,12.0,12.0,10.0,21.0,24.0,10.0,19.0,24.0,15.0,8.0,22.0,12.0,24.0,22.0,20.0,16.0,14.0,5.0,3.0,7.0,7.0,16.0,18.0,14.0,16.0,24.0,18.0,13.0,6.0,9.0,15.0,19.0,24.0
32,14.0,9.0,15.0,19.0,10.0,19.0,24.0,18.0,12.0,17.0,18.0,5.0,22.0,18.0,24.0,23.0,21.0,13.0,5.0,7.0,11.0,16.0,19.0,6.0,16.0,15.0,15.0,15.0,19.0,16.0,13.0,12.0,9.0,18.0,17.0
33,15.0,14.0,10.0,13.0,20.0,14.0,24.0,12.0,20.0,14.0,14.0,21.0,13.0,16.0,24.0,23.0,15.0,6.0,10.0,12.0,14.0,13.0,9.0,18.0,14.0,17.0,12.0,19.0,23.0,19.0,10.0,13.0,6.0,17.0,16.0
34,23.0,13.0,11.0,4.0,14.0,24.0,21.0,7.0,24.0,24.0,24.0,9.0,14.0,8.0,24.0,23.0,18.0,17.0,7.0,8.0,7.0,6.0,7.0,12.0,22.0,21.0,18.0,16.0,23.0,19.0,13.0,13.0,3.0,11.0,22.0
