,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22
12,19.0,13.0,15.0,11.0,15.0,18.0,12.0,15.0,11.0,12.0,8.0,14.0,7.0,18.0,24.0,2.0,14.0,11.0,15.0,17.0,15.0,21.0,17.0
13,10.0,10.0,15.0,10.0,21.0,16.0,21.0,15.0,5.0,4.0,13.0,16.0,21.0,20.0,15.0,3.0,18.0,15.0,11.0,18.0,15.0,17.0,15.0
14,23.0,16.0,16.0,14.0,9.0,18.0,7.0,9.0,14.0,5.0,15.0,9.0,18.0,24.0,15.0,7.0,11.0,10.0,8.0,15.0,15.0,24.0,22.0
15,13.0,17.0,8.0,5.0,20.0,20.0,20.0,10.0,7.0,10.0,14.0,13.0,19.0,19.0,17.0,2.0,14.0,18.0,6.0,20.0,15.0,19.0,18.0
16,21.0,15.0,14.0,14.0,15.0,12.0,12.0,10.0,14.0,11.0,11.0,10.0,15.0,24.0,14.0,6.0,11.0,8.0,3.0,15.0,22.0,23.0,24.0
17,24.0,8.0,20.0,8.0,15.0,16.0,12.0,16.0,8.0,10.0,16.0,14.0,15.0,20.0,10.0,8.0,6.0,5.0,12.0,15.0,18.0,24.0,24.0
18,18.0,17.0,13.0,2.0,17.0,19.0,17.0,8.0,8.0,11.0,14.0,17.0,13.0,20.0,18.0,8.0,11.0,11.0,8.0,16.0,15.0,19.0,24.0
19,16.0,16.0,19.0,11.0,12.0,16.0,13.0,16.0,16.0,13.0,12.0,9.0,16.0,11.0,16.0,12.0,12.0,9.0,10.0,11.0,14.0,20.0,24.0
20,16.0,11.0,16.0,13.0,15.0,13.0,19.0,15.0,8.0,0.0,12.0,17.0,18.0,20.0,19.0,14.0,12.0,12.0,11.0,11.0,16.0,16.0,20.0
21,21.0,12.0,17.0,17.0,10.0,15.0,11.0,7.0,10.0,4.0,10.0,20.0,18.0,16.0,24.0,9.0,11.0,7.0,7.0,18.0,12.0,24.0,24.0
22,16.0,3.0,19.0,7.0,20.0,19.0,19.0,6.0,7.0,6.0,18.0,15.0,12.0,21.0,24.0,1.0,3.0,12.0,18.0,13.0,21.0,24.0,20.0
23,18.0,13.0,13.0,13.0,20.0,13.0,13.0,14.0,4.0,5.0,17.0,14.0,14.0,21.0,20.0,4.0,13.0,8.0,17.0,17.0,16.0,24.0,13.0
24,19.0,14.0,16.0,9.0,16.0,16.0,13.0,12.0,12.0,3.0,15.0,15.0,14.0,23.0,15.0,7.0,11.0,7.0,9.0,17.0,21.0,21.0,19.0
25,24.0,13.0,15.0,9.0,12.0,13.0,17.0,12.0,6.0,6.0,15.0,16.0,6.0,24.0,24.0,4.0,11.0,1.0,10.0,16.0,22.0,24.0,24.0
26,18.0,16.0,13.0,12.0,19.0,10.0,15.0,13.0,13.0,8.0,19.0,11.0,10.0,17.0,18.0,6.0,6.0,11.0,8.0,16.0,17.0,24.0,24.0
27,16.0,19.0,14.0,13.0,11.0,15.0,15.0,6.0,8.0,9.0,6.0,20.0,19.0,21.0,20.0,3.0,14.0,7.0,9.0,17.0,18.0,24.0,20.0
28,15.0,8.0,12.0,12.0,20.0,18.0,18.0,11.0,8.0,7.0,11.0,15.0,12.0,21.0,24.0,9.0,9.0,8.0,11.0,13.0,14.0,24.0,24.0
29,18.0,15.0,15.0,12.0,16.0,16.0,11.0,11.0,8.0,4.0,18.0,15.0,13.0,17.0,23.0,17.0,4.0,4.0,4.0,19.0,16.0,24.0,24.0
30,18.0,11.0,8.0,11.0,17.0,19.0,19.0,3.0,12.0,2.0,19.0,15.0,16.0,20.0,22.0,4.0,11.0,5.0,15.0,16.0,20.0,24.0,17.0
31,22.0,15.0,13.0,13.0,18.0,9.0,13.0,14.0,13.0,7.0,9.0,14.0,13.0,17.0,22.0,17.0,12.0,7.0,3.0,15.0,13.0,21.0,24.0
32,17.0,11.0,15.0,18.0,15.0,12.0,15.0,13.0,13.0,11.0,10.0,13.0,12.0,19.0,18.0,6.0,11.0,11.0,10.0,15.0,20.0,19.0,20.0
33,15.0,11.0,2.0,14.0,20.0,24.0,17.0,5.0,12.0,1.0,15.0,17.0,11.0,24.0,24.0,8.0,6.0,2.0,9.0,20.0,24.0,24.0,19.0
34,11.0,10.0,13.0,6.0,21.0,18.0,24.0,5.0,4.0,2.0,11.0,24.0,15.0,24.0,24.0,1.0,13.0,3.0,6.0,21.0,22.0,23.0,23.0
35,18.0,6.0,13.0,20.0,14.0,15.0,17.0,10.0,9.0,4.0,15.0,10.0,13.0,24.0,24.0,4.0,2.0,11.0,9.0,18.0,20.0,24.0,24.0
36,22.0,6.0,15.0,13.0,19.0,13.0,15.0,21.0,8.0,7.0,7.0,3.0,16.0,24.0,23.0,3.0,8.0,21.0,3.0,13.0,16.0,24.0,24.0
37,24.0,10.0,17.0,5.0,14.0,16.0,17.0,7.0,6.0,11.0,12.0,9.0,18.0,24.0,22.0,7.0,5.0,11.0,3.0,16.0,22.0,24.0,24.0
